01	08	03	10
02	26	34	22
03	04	10	16
04	03	36	16
05	06	07	09
06	05	07	15
07	06	05	11
08	01	04	03
09	07	06	05
10	16	01	03
11	06	07	15
12	40	28	13
13	14	12	28
14	12	13	22
15	06	09	05
16	10	06	04
17	18	21	23
18	17	35	21
19	24	38	36
20	40	35	23
21	18	22	17
22	21	18	38
23	35	18	17
24	23	19	29
25	26	28	33
26	25	35	33
27	32	31	17
28	33	25	40
29	30	22	34
30	29	27	32
31	32	27	17
32	27	24	31
33	25	28	40
34	22	02	29
35	18	36	21
36	37	35	38
37	36	35	40
38	39	19	24
39	38	22	21
40	20	09	07
